"Igualda_posticalis"	"Alphus_senilis"	"Mecometopus_triangularis"	"Hexoplon_carissimum"	"Odontocera_trisignata"	"Ommata_sp._1400"	"Macronemus_antennator"	"Eupromerella_clavator"	"Oedopeza_sp._1327"	"Opades_costipennis"	"Colobothea_hirtipes"	"Xenocrasis_politipennis"	"Brasilianus_plicatus"	"Macropophora_trochlearis"	"Jamesia_globifera"	"Symperasmus_thoracicus"	"Leptostylus_plautus"	"Nyssodrysternum_signiferum"	"Toronaeus_perforator"	"Phygopoda_sp._1236"	"Anoplomerus_globulicollis"	"Ochrus_sp._1346"	"Ommata_sp._1340"	"Heterachthes_typsiphonis"	"Cosmisoma_speculiferum"	"Lepturgantes_seriatus"	"Ochrus_grammoderus"	"Lepturges_(Chaeturges)_sp._708"	"Parandra_punctatissima"	"Ozodes_infuscatus"	"Cosmisoma_lineellum"	"Estola_cayennensis"	"Colobothea_elongata"	"Paroecus_charpentierae"	"Colobothea_obconica"	"Taeniotes_cayennensis"	"Taeniotes_pulverulentus"	"Acrocinus_longimanus"	"Hylettus_coenobita"	"Atrypanius_remissus"	"Nyssodrysternum_creatum"	"Oreodera_bituberculata"	"Oreodera_glauca"	"Atrypanius_conspersus"	"Alphus_malleri"	"Alphus_sp._1366"	"Toronaeus_magnificus"	"Nyssodectes_sp._275"	"Nyssodrysina_pulchella"	"Nyssodrysternum_caudatum"	"Nyssodrysternum_flavolineatum"	"Nyssodrysternum_propinquun"	"Nyssodrysternum_rodens"	"Nyssodrysternum_simulatum"	"Cylicasta_liturata"	"Alphus_aurivillii"	"Myoxinus_pictus"	"Orthomegas_cinnamomeus"	"Mecometopus_globicollis"	"Colobothea_lineatocollis"	"Oncideres_chevrolati"	"Carphina_ligneola"	"Psapharochrus_lateralis"	"Rosalba_inscripta"	"Drycothaea_angustifrons"	"Drycothaea_brasiliensis"	"Lepturges_complanatus"	"Callia_bicolor"	"Drycothaea_ochreoscutellaris"	"Neoclytus_sp._649"	"Anisopodus_phalangodes"	"Nyssodrysina_binoculata"	"Nyssodrysternum_efflictum"	"Toronaeus_virens"	"gen._sp._388"	"Priscilla_hypsiomoides"	"Anisopodus_batesi"	"Alphus_foveatus"	"Nyssodrysternum_sp._217"	"Odontocera_sp._873"	"Phrynocris_notabilis"	"Tropidozineus_impensus"	"Oreodera_sp._1006"	"Nealcidion_emeritum"	"Odontocera_sp._1350"	"Oreodera_jacquieri"	"Oreodera_roppai"	"Acanthoderes_daviesi"	"Atrypanius_sp._372"	"Lepturges_(Chaeturges)_dorsalis"	"Nyssodrysternum_lemniscatum"	"Heterachthes_sp._929"	"Stenoidion_amphigyum"	"Acanthoderes_laportei"	"Oreodera_sp._118"	"Amphicnaeia_sp."	"gen._sp._1402"	"Ectenessa_ornatipennis"	"Periboeum_pubescens"	"Chlorida_curta"	"Trachyderes_melas"	"Erphaea_sp._682"	"Oreodera_undulata"	"Steirastoma_melanogenys"	"Steirastoma_breve"	"Lepturges_sp._710"	"Euthima_rodens"	"Oreodera_melzeri"	"Oedopeza_ocellator"	"Psapharochrus_vetustus"	"Ectenessa_sp._974"	"Estoloides_alboscutellaris"	"Xenofrea_sp._560"	"Psapharochrus_spinicornis"	"Steirastoma_genisspina"	"Hylettus_seniculus"	"Lepturges_limpidus"	"Ozineus_sp._1426"	"Palame_mimetica"	"Neobaryssinus_marianae"	"Neoeutrypanus_mutilatus"	"Palame_anceps"	"Palame_crassimana"	"Xylergates_elaineae"	"Xylergatina_pulchra"	"Neoeutrypanus_incertus"	"Pilisphaerion_exoticum"	"Stratone_rufotestacea"	"Neopalame_sp._228"	"Oedopeza_leucostigma"	"Xenofrea_sp._450"	"Neobaryssinus_sp._851"	"Neopalame_sp._911"	"Phygopoda_subvestita"	"Ischasia_sp._926"	"Mionochroma_aureotinctum"	"Mionochroma_vittatum"	"Acorethra_zischkai"	"Pycnomorphus_centrolineatus"	"Protosphaerion_signatipenne"	"Ommata_sp._773"	"Tomopterus_consobrinus"	"Callichroma_auricomum"	"Mionochroma_aurosum"	"Desmiphora_sp._639"	"Oreodera_albata"	"Pycnomorphus_sp._424"	"Epimelitta_sp._988"	"Ommata_sp._311"	"Ommata_sp._986"	"Tomopterus_clavicornis"	"Tomopterus_servillei"	"Pycnomorphus_sp._739"	"Tomopterus_obliquus"	"Tomopterus_aurantiacosignatus"	"Callichroma_velutinum"	"Tomopterus_grossefoveolatus"	"Temnopsis_oculata"	"Optomerus_roppai"	"Mionochroma_ocreatum"	"Lepturges_(Chaeturges)_sp._356"	"Ischasia_sp._817"	"Phygopoda_sp._654"	"Oreodera_basiradiata"	"Ozineus_sp._1426_aff._strigosus"	"gen._sp._1272"	"Ischasia_sp._1410"	"Pycnomorphus_sp._702"	"Compsibidion_basale"	"Heterachthes_sp._394"	"Odontocera_sp._1368"	"Toronaeus_sumptuosus"	"Pycnomorphus_sp._628"	"Platysternus_hebraeus"	"Cycnidolon_approximatum"	"Agaone_notabilis"	"Odontocera_molorchoides"	"Odontocera_sp._1018"	"Oedopeza_setigera"	"Gorybia_semiopaca"	"Hemilissa_catapotia"	"Thoracibidion_ruficaudatum"	"Lochmaeocles_pulcher"	"Oedopeza_apicale"	"Thoracibidion_striatocolle"	"Colobothea_eximia"	"Lochmaeocles_callidryas"	"Polyrhaphis_populosa"	"Nyssodrysternum_serpentinum"	"Paroecus_celebensis"	"Hespereburia_balouporum"	"Aposphaerion_punctulatum"	"Phygopoda_fulvitarsis"	"Tybalmia_pupillata"	"Colobothea_macularis"	"Odontocera_sp._1376"	"Phygopoda_sp._1377"	"Chrysoprasis_moerens"	"Cosmotoma_sp._313"	"Orthostoma_chryseis"	"Chrysoprasis_chlorogaster"	"Eburodacrys_sexmaculata"	"Andraegoidus_lacordarei_lacordarei"	"Estola_hirsuta"	"Hesychotypa_liturata"	"Eburodacrys_sp._1282"	"Hemilissa_sp._1328"	"Hesychotypa_jaspidea"	"Nyssodrysina_venusta"	"Pentheochaetes_sp._230"	"Eburodacrys_sp._1033"	"Mephritus_auricolle"	"Chrysoprasis_sp._1023"	"Polyrhaphis_spinosa"	"Oncideres_gemmata"	"Cycnidolon_batesianum"	"Epimelitta_sp._1355"	"Chrysoprasis_aeneicollis"	"Chrysoprasis_sp._514"	"Cosmotoma_adjuncta"	"Eburodacrys_sp._636"	"Ommata_sp._1017"	"Ceragenia_leprieurii"	"Compsibidion_charille"	"Ischasia_sp._1399"	"Lissonotus_equestris"	"Cyliscasta_sp._1417"	"Estola_sp._435"	"gen._sp._951"	"gen._sp._1393"	"gen._sp._1398"	"Colobothea_sp._322"	"Hilobothea_latevittata"	"Hemilissa_opaca"	"Lophopoeum_carinatulum"	"Chrysoprasis_floralis"	"Onychocerus_aculeicornis"	"Pseudaethomerus_lacordairei"	"Cicatrizocera_bilistrata"	"Batus_barbicornis"	"Cosmotomidius_sp._1071"	"Sphaerion_cassum"	"Colobothea_carneola"	"Eburodacrys_sp."	"Ommata_elegans"	"Ommata_sp._1259"	"Chlorida_denticulata"	"Chlorida_festiva"	"Achryson_surinamum"	"Mecometopus_leprieuri"	"Chrysoprasis_sp._1030"	"Trachyderes_succinctus_succinctus"	"Granastyochus_elegantissimus"	"Polyrhaphis_fabricii"	"Oreodera_crinita"	"Colobothea_pimplaea"	"Sphaerion_sp._26"	"Sphaerion_sp._524"	"Chrysoprasis_rotundicollis"	"Hemilissa_sp._1330"	"Chrysoprasis_sp._1411"	"Homogenes_leprieurii"	"Orthostoma_sp._694"	"Mecometopus_sp._696"	"Argyrodines_pulchella"	"Acyphoderes_abdominalis"	"Sphallotrichus_puncticolle"	"Hemilissa_sp._1311"	"Pucallpa_robusta"	"Hamatastus_excelsus"	"Colobothea_appendiculata"	"Odontocera_simplex"	"Odontocera_sp._392"	"Odontocera_colon"	"Charoides_tigrinata"	"Hypsioma_constellata"	"Trestonia_forticornis"	"Carterica_mucronata"	"Colobothea_sp._844"	"Odontecera_sp._938"	"Ommata_sp._1329"	"Ommata_(Eclipta)_sp._411"	"Lepturges_(Chaeturges)_repandus"	"Eburodacrys_sulphureosignata"	"Carphina_petulans"	"Ommata_paradisiaca"	"Pygmodeon_involutum"	"Ommata_sp._1255"	"Chrysoprasis_bipartita"	"Phespia_cercerina"	"Compsibidion_multizonatum"	"Trypanidius_notatus"	"Ommata_sp._1357"	"Ataxia_obscura"	"Eburodacrys_puella"	"Mecometopus_aurantisignatus"	"Malacopterus_tenellus"	"Nealcidion_triangulare"	"Melacopterus_tenellus"	"Onychocerus_crassus"	"Lagocheirus_araneiformis_fulvescens"	"Anisopodus_lignicola"	"Stenoidion_corallinum"	"Helvina_uncinata"	"Esthlogena_albolineata"	"Estola_annulata"	"Oreodera_basipenicillata"	"Hemicladus_dejeani"	"Psapharochrus_bivittis"	"Brasilianus_lasiocerus"	"Oreodera_neglecta"	"Stenolis_incisa"	"Toronaeus_suavis"	"Nyssicus_sp._74"	"Hylettus_spilotus"	"Nyssodrysternum_sp._216"	"Nyssodrysternum_sp._969"	"Toronaeus_simillimus"	"Nyssicus_sp._69"	"Nealcidion_sp._1321"	"Tropidozineus_argutulus"	"Nyssicus_rosalesi"	"Nyssicus_aureopilosus"	"Toronaeus_figuratus"	"Nyssicus_conspicillatus"	"Oncideres_repandator"	"Onychocerus_concentricus"	"Brasilianus_batus"	"Coremia_plumipes"	"Symperasmus_affinis"	"Pattalinus_vittulatus"	"Listroptera_tenebricosa"	"Anisopodus_sparsus"	"Acanthoderes_sp._509"	"Lepturges_(Chaeturges)_serenus"	"Hemilissa_cornuta"	"Nyssodrysternum_sp._838"	"Colobothea_geminata"	"Nealcidion_deletum"	"Adetus_pulchellus"	"Hippopsis_macrophthalma"	"Estola_m-flava"	"Bisaltes_buqueti"	"Desmiphora_fasciculata"	"Gnomidolon_melanosomum"	"Aneuthetochorus_simplex"	"Haruspex_lineolatus"	"Megacyllene_angulata"	"Chrysoprasis_hypocrita"	"Macrodontia_cervicornis"	"Eusapia_guyanensis"	"Tenthras_obliteratus"	"Tenthras_setosus"
"Virola_surinamensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Virola_sp."	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aniba_parviflora"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Licaria_canella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Licaria_martiniana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Licaria_rigida"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mezilaurus_itauba"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ocotea_argyrophylla"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ocotea_guianensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ocotea_rubra"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ocotea_sp."	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhodostemonodaphne_grandis"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
