"Abalistes_stellaris"	"Caranx_malabaricus"	"Decapterus_sp."	"Parastromateus_niger"	"Psettodes_erumei"	"Rachycentron_canadum"	"Selar_crumenophthalmus"	"Triacanthus_biaculeatus"	"Drepane_punctata"	"Caranx_sp."	"Ephippus_orbis"	"Platax_orbicularis"	"Pomadasys_hasta"	"Epinephelus_tauvina"	"Gerres_filamentosus"	"Sardinella_sp."	"Carangidae"	"Leiognathidae"	"Pampus_argenteus"	"Scomberomorus_commerson"	"Chirocentrus_dorab"	"Epinephelus_sexfasciatus"	"Gymnocranius_griseus"	"Ilisha_sp."	"Megalaspis_cordyla"	"Scomberomorus_guttatus"	"Scombridae"	"Alectis_indicus"	"Aluterus_monoceros"	"Epinephelus_bruneus"	"Mene_maculata"	"Seriola_sp."	"Seriolina_nigrofasciata"	"Atropus_atropos"	"Atule_mate"	"Echeneis_naucrates"	"Plectorhinchus_cinctus"	"Sciaenidae"	"Scomberoides_lysan"	"Selaroides_leptolepis"	"Seriola_dumerili"	"Decapterus_muroadsi"	"Dussumieria_elopsoides"	"Leiognathus_equulus"	"Leiognathus_sp."	"Rastrelliger_kanagurta"	"Cepola_schlegelii"	"Drepane_longimana"	"Lutjanus_russellii"	"Lutjanus_sebae"	"Makaira_sp."	"Plectorhinchus_sp."	"Scomberomorus_sp."	"Selaroides_sp."	"Therapon_theraps"	"Cepola_sp."	"Gerres_sp."	"Lutjanus_lutjanus"	"Pristipomoides_typus"	"Xiphias_sp."	"Acanthocepola_limbata"	"Alepes_melanoptera"	"Carangoides_chrysophrys"	"Fistularia_petimba"	"Ichthyscopus_lebeck_lebeck"	"Saurida_tumbil"	"Arius_sp."	"Atropus_oreolatus"	"Bleekeria_viridianguilla"	"Brachiostegus_japonicus"	"Chaetodon_sp."	"Chaetodontidae"	"Euthynnus_affinis"	"Gnathanodon_speciosus"	"Lepidotrygla_sp."	"Lutjanus_sp."	"Priacanthus_tayenus"	"Selar_sp."	"Trachinocephalus_myops"	"Trachinocephalus_sp."	"Anisakis_sp."	"Porrocaecum_sp."	"Contracaecum_sp."	"Nybelinia_sp."	"Otobothrium_sp."	"Aponurus_laguncula"	"Rhipidocotyle_sp."	"Serrasentis_sagittifer"	"Ectenurus_selari"	"Philometra_sp."	"Dinurus_selari"	"Lecithocladium_apolecti"	"Stephanostomum_imparispine"	"Pseudaxinoides_vietnamensis"	"Trigonotrema_alatum"	"Pseudaxine_sp."	"Heteromicrocotyla_sp."	"Tegorhynchus_multacanthus"	"Prosorhynchus_epinepheli"	"Lintonium__vibex"	"Aphanurus_stossichi"	"Lecithocladium_excisum"	"Prosorchis_chainanensis"	"Lepidapedon_megalaspi"	"Hypocreadium_scaphosomum"	"Opechona_formiae"	"Leiomonorchis_leiognathi"	"Benedenia_epinepheli"	"Benedenia_sp."	"Haliotrema_sp."	"Diplectanum_hargisi"	"Allodiscocotyla_chorinemi"	"Dawesia_incisa"	"Pseudaxine_trachuri"	"Pricea_multae"	"Tonkinaxine_homocerca"	"Heteromicrocotyla_carangis"	"Oncomegas_wageneri"	"Pterobothrium_platycephalum"	"Derogenes_varicus"	"Monilicaecum_ventricosum"	"Torticaecum_fenestratum"	"Ectenurus_trachuri"	"Erilepturus_formosae"	"Tubulovesicula_angusticauda"	"Lecithocladium_harpodontis"	"Aponurus_carangis"	"Aponurus_pyriformis"	"Prosogonotrema_bilabiatum"	"Prosogonotrema_clupeae"	"Hemiuroidea_gen._sp."	"Opecoelus_sphaericus"	"Podocotyloides_petalophallus"	"Acanthocolpus_liodorus"	"Stephanostomum__sp."	"Tormopsolus_echenei"	"Schistorchis_skrjabini"	"Diploproctodaeum_macracetabulum"	"Diploproctodaeum_rutellum"	"Lepocreadium_sp."	"Multitestis_magnacetabulum"	"Xystretum_abalisti"	"Paradiscogaster_drepanei"	"Lasiotocus_macrorchis"	"Lasiotocus_plectorhynchi"	"Opisthomonorcheides_decapter"	"Encotyllabe_spari"	"Ancyrocephalus_bilobatus"	"Pseudorhabdosynochus_epinepheli"	"Vallisia_chorinemi"	"Cathucotyle_cathuaui"	"Gastrocotyle_trachuri"	"Gastrocotyle_sp"	"Bilaterocotyloides_carangis"	"Bicotyle_perpolita"	"Kannaphalllus_virilis"	"Lutianicola_haifonensis"	"Eutetrarhynchidae_gen._sp."	"Grillotia_sp."	"Cucullanus_sp"	"Echinocephalus_spinosissimus"	"Echinocephalus_sp."	"Acanthocephala_gen._sp."	"Alcicornis_carangis"	"Bucephalus_gorgon"	"Bucephalus_varicus"	"Bucephalus_sp."	"Rhipidocotyle_laruei"	"Complexobursa_vjetnamensis"	"Plectognathotrema_ovata"	"Pseudosteringophorus_sp."	"Tergestia_laticollis"	"Buckleytrema_indica"	"Tetrochetus_hansoni"	"Bathycotyle_sp."	"Gonocercella_pacifica"	"Gonocercella_sp."	"Didymozoon_polymorphis"	"Multtubovarium_amphibolum"	"Neometanematobothrioides_rachycentri"	"Allostomachicola_secundus"	"Dinurus_sp."	"Ectenurus_theraponae"	"Ectenurus_sp."	"Erilepturus_sp."	"Tubulovesicula_lindbergi"	"Tubulovesicula_marsupialia"	"Lecithocladium_excisiforme"	"Lecithocladium_pampi"	"Lecithocladium_sp."	"Parahemiurus_merus"	"Lecithochirium_imocavum"	"Lecithochirium_sp."	"Plerurus_digitatus"	"Trifoliovarium_triacanthi"	"Prosogonotrema_abalisti"	"Cardicola_congruenta"	"Cardicola_grandis"	"Cleptodiscus_sp."	"Opecoelina_vixiintestina"	"Opegaster_parapristopomatis"	"Allopodocotyle_epinepheli"	"Helicometra_fasciata"	"Pycnadenoides_pagrosomi"	"Neonotoporus_decapteri"	"Acanthocolpus_luehei"	"Pleorchis_sciaenae"	"Stephanostomum_fistulariae"	"Stephanostomum_tenue"	"Stephanostomum_sp."	"Tormopsolus_filiformis"	"Tormopsolus_orientalis"	"Homalometron__sp."	"Sphincteristomum_acollum"	"Aephnidiogenes_barbarus"	"Diploproctia_drepanei"	"Diploproctodaeoides_longipygum"	"Diploproctodeum_plataxi"	"Callogonotrema_fistulariae"	"Hypocreadium_cavum"	"Lepocreadiidae_gen._sp."	"Metadena_eurystoma"	"Paracryptogonimus_echinostomus"	"Paracryptogonimus_morosovi"	"Pseudallacanthochasmus_plectorhynchi"	"Pseudosiphoderoides_longus"	"Heterophyidae_gen._sp."	"Phyllodistomum_notosinicum"	"Phyllodistomum_parukhini"	"Phyllodistomum_psettodi"	"Phyllodistomum_strictum"	"Huridostomum_formionis"	"Hurleytrematoides_chaetodoni"	"Lasiotocus_cacuminatus"	"Lasiotocus_chaetodipteri"	"Lasiotocus_cryptastoma"	"Longimonorchis_ovacutus"	"Monorchis_diplovarium"	"Opisthomonorchis_carangis"	"Proctotrema__sp."	"Megalocotyle_lutiani"	"Sessilorbis_limopharynx"	"Sprostoniella_multitestis"	"Paratetraonchoides_inermis"	"Pavlovskioides_ichthyoscopi"	"Pavlovskioides_litoralis"	"Pseudotetraonchoides_bleekeriae"	"Ancyrocephalus_macrogaster"	"Ancyrocephalus_parspinicirrus"	"Ancyrocephalus_scapulasser"	"Ancyrocephalus_spinicirrus"	"Ancyrocephalus_unicirrus"	"Diplectanum_sp."	"Pseudorhabdosynochus_cupatum"	"Allodiscocotyla_diacanthi"	"Triglicola_tonkinensis"	"Gotocotyla_laticauda"	"Gotocotyla_secunda"	"Allopseudaxine_macrova"	"Osphyobothrus_bychowskyi"	"Heteraxine_heterocerca"	"Monaxine_formionis"	"Heteromicrocotyla_polyorchis"	"Heteromicrocotyla_vaginispina"	"Caballeraxine_chainanica"	"Incisaxine_dubia"	"Intracotyle_orientale"	"Lethrinaxine_parva"	"Microcotyle_hemiatriospinalis"	"Microcotyle_sp."	"Bothriocephalus_manubriformis"	"Capillaria_(sensu_latu)_sp"	"Hysterothylacium_incurvum"	"Hysterothylacium_saba"	"Iheringascaris_inquies"	"Cucullanus_heterochrous"	"Camallanus_(Camallanus)_carangis"	"Camallanus_sp."	"Philometra_balistii"	"Philometroides_atropi"	"Philometroides_sp."	"Ascarophis_sp."	"Heptochona_dorabi"	"Gorgorhynchus_medius"	"Gorgorhynchus_sp."	"Rhadinorhynchus_carangis"	"Rhadinorhynchus_ditrematus"	"Rhadinorhynchus_pristis"	"Acanthogyrus_(Acanthosentis)_indicus"	"Lepeophtheirus_sp."	"Lernaeocera_branchialis"	"Corallana__sp."
"Ephippus_orbis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0	0.0357142857142857	0	0.0357142857142857	0	0	0	0	0.0357142857142857	0	0	0.0357142857142857	0	0	0	0	0	0.0357142857142857	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0.0357142857142857	0	0	0	0	0	0	0.0357142857142857	0.0357142857142857	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Platax_orbicularis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0.0357142857142857	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0	0	0	0	0	0	0.0357142857142857	0	0.0357142857142857	0	0.0357142857142857	0	0	0	0	0	0	0.0357142857142857	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pomadasys_hasta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0.0357142857142857	0.0357142857142857	0	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0.0357142857142857	0.0357142857142857	0	0.0357142857142857	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0
"Epinephelus_tauvina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0.05	0.05	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0.05
"Gerres_filamentosus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0.05	0.05	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sardinella_sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0.05	0	0	0.05	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Carangidae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leiognathidae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0.0555555555555556	0.0555555555555556	0	0.0555555555555556	0	0	0.0555555555555556	0	0.0555555555555556	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0.0555555555555556	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pampus_argenteus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0.0555555555555556	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0.0555555555555556	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Scomberomorus_commerson"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chirocentrus_dorab"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0
"Epinephelus_sexfasciatus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0.0625	0.0625	0.0625	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gymnocranius_griseus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0.0625	0	0.0625	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0
"Ilisha_sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0.0625	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megalaspis_cordyla"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0.0625	0.0625	0.0625	0	0.0625	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
